Ball  Rate
Poke Ball  1
Great Ball  1.5
Ultra Ball  2
Master Ball 255
Safari Ball 1.5
Level(Equal) Ball  1
Level(Higher) Ball 2
Level(Double) Ball 4
Level(Quadruple) Ball 8
Lure(N/A) Ball  1
Lure(Fishing) Ball 3
Moon(N/A) Ball  1
Moon(Applicable) Ball 4
Friend Ball 1
Love(N/A) Ball  1
Love(Applicable) Ball 8
Heavy(N/A) Ball 1
Fast(N/A) Ball  1
Fast(Fast) Ball 4
Sport Ball 1.5
Net(N/A) Ball 1
Net(Applicable) Ball  3
Repeat(N/A) 1
Repeat(Repeat)  3
Premier Ball  1
Luxury Ball 1
Dive(N/A) Ball  1
Dive(Applicable) Ball 3.5
Dusk(N/A) Ball  1
Dusk(Cave) Ball 3.5
Quick(N/A) Ball 1
Quick(TurnOne) Ball 4
Heal Ball 1
Cherish Ball  1
Park Ball 255
Dream Ball  255
